Date,AAPL,AMZN,GOOGL,MSFT
2017-08-09,159.855331,982.01001,940.080017,71.725723
2017-08-08,158.88266000000002,989.840027,944.1900019999999,72.042435
2017-08-07,157.622162,992.2700199999999,945.75,71.656448
2017-08-04,155.22026100000002,987.580017,945.7899779999999,71.933563
2017-08-03,154.406403,986.919983,940.2999880000001,71.40900400000001
2017-08-02,155.964661,995.8900150000001,947.6400150000001,71.517883
2017-08-01,148.927689,996.1900019999999,946.5599980000001,71.834595
2017-07-31,147.617554,987.7800289999999,945.5,71.953354
2017-07-28,148.38179,1020.0399779999999,958.330017,72.28987099999999
2017-07-27,149.433868,1046.0,952.51001,72.408638
2017-07-26,152.31218,1052.800049,965.3099980000001,73.289497
2017-07-25,151.59758,1039.869995,969.0300289999999,73.428055
2017-07-24,150.952423,1038.949951,998.3099980000001,72.844116
2017-07-21,149.146042,1025.670044,993.840027,73.032166
2017-07-20,149.21551499999998,1028.699951,992.1900019999999,73.457748
2017-07-19,149.89044199999998,1026.869995,992.7700199999999,73.10144
2017-07-18,148.957474,1024.449951,986.9500119999999,72.547195
2017-07-17,148.44134499999998,1010.0399779999999,975.9600220000001,72.596687
2017-07-14,147.925232,1001.8099980000001,976.909973,72.032539
2017-07-13,146.664749,1000.6300050000001,968.849976,71.03290600000001
2017-07-12,144.64991799999999,1006.51001,967.659973,70.41928100000001
2017-07-11,144.441483,994.1300050000001,953.5300289999999,69.271194
2017-07-10,143.975006,996.4699710000001,951.0,69.261299
2017-07-07,143.101578,978.76001,940.8099980000001,68.746635
2017-07-06,141.66243,965.1400150000001,927.6900019999999,67.865776
2017-07-05,143.01225300000002,971.400024,932.26001,68.370544
2017-07-03,142.426682,953.659973,919.4600220000001,67.469879
2017-06-30,142.942795,968.0,929.679993,68.222076
2017-06-29,142.605316,975.929993,937.820007,67.786598
2017-06-28,144.739243,990.330017,961.01001,69.083145
2017-06-27,142.654953,976.7800289999999,948.090027,68.499199
2017-06-26,144.72933999999998,993.9799800000001,972.090027,69.805649
2017-06-23,145.18588300000002,1003.73999,986.090027,70.478661
2017-06-22,144.54075600000002,1001.2999880000001,976.6199949999999,69.538422
2017-06-21,144.778946,1002.2299800000001,978.590027,69.548309
2017-06-20,143.925369,992.590027,968.98999,69.192017
2017-06-19,145.24543799999998,995.169983,975.2199710000001,70.142151
2017-06-16,141.20588700000002,987.7100220000001,958.6199949999999,69.28109
2017-06-15,143.210754,964.169983,960.179993,69.182114
2017-06-14,144.074265,976.4699710000001,967.929993,69.548309
2017-06-13,145.493561,980.7899779999999,970.5,69.92441600000001
2017-06-12,144.33230600000002,964.909973,961.8099980000001,69.063347
2017-06-09,147.865692,978.3099980000001,970.1199949999999,69.597801
2017-06-08,153.830734,1010.2700199999999,1004.2800289999999,71.21106
2017-06-07,154.207901,1010.070007,1001.5,71.64654499999999
2017-06-06,153.29478500000002,1003.0,996.679993,71.7752
2017-06-05,152.778656,1011.340027,1003.8800050000001,71.537674
2017-06-02,154.28729199999998,1006.7299800000001,996.1199949999999,71.02301800000001
2017-06-01,152.034271,995.9500119999999,988.2899779999999,69.38005799999999
2017-05-31,151.617416,994.6199949999999,987.090027,69.122726
2017-05-30,152.520599,996.7000119999999,996.169983,69.686882
2017-05-26,152.46106,995.7800289999999,993.2700199999999,69.241493
2017-05-25,152.719101,993.3800050000001,991.8599849999999,68.904999
2017-05-24,152.193069,980.349976,977.6099849999999,68.063721
2017-05-23,152.649643,971.5399779999999,970.5499880000001,67.974648
2017-05-22,152.838211,970.669983,964.070007,67.747002
2017-05-19,151.915176,959.840027,954.650024,66.994812
2017-05-18,151.399048,958.48999,950.5,67.01460300000001
2017-05-17,149.12618999999998,944.76001,942.169983,66.78697199999999
2017-05-16,154.307144,966.070007,964.6099849999999,68.697159
2017-05-15,154.535416,957.9699710000001,959.2199710000001,67.341217
2017-05-12,154.932449,961.349976,955.1400150000001,67.292007
2017-05-11,152.798523,947.6199949999999,955.8900150000001,67.370735
2017-05-10,151.488388,948.9500119999999,954.840027,68.207207
2017-05-09,152.20996100000002,952.820007,956.7100220000001,67.941513
2017-05-08,151.241272,949.0399779999999,958.6900019999999,67.843109
2017-05-05,147.238113,934.150024,950.2800289999999,67.90214499999999
2017-05-04,144.836182,937.5300289999999,954.7199710000001,67.715172
2017-05-03,145.360062,941.0300289999999,948.4500119999999,67.980873
2017-05-02,145.804855,946.9400019999999,937.090027,68.19738000000001
2017-05-01,144.885605,948.2299800000001,932.820007,68.305626
2017-04-28,141.98945600000002,924.98999,924.5200199999999,67.370735
2017-04-27,142.127869,918.3800050000001,891.4400019999999,67.183762
2017-04-26,142.019119,909.2899779999999,889.1400150000001,66.750771
2017-04-25,142.859299,907.6199949999999,888.840027,66.839325
2017-04-24,141.97958400000002,907.409973,878.929993,66.455536
2017-04-21,140.625443,898.5300289999999,858.9500119999999,65.343513
2017-04-20,140.79345700000002,902.0599980000001,860.080017,64.457832
2017-04-19,139.053818,899.2000119999999,856.51001,64.005157
2017-04-18,139.567795,903.7800289999999,853.98999,64.349586
2017-04-17,140.190521,901.98999,855.1300050000001,64.438156
2017-04-13,139.41953999999998,884.669983,840.179993,63.916584
2017-04-12,140.160873,896.2299800000001,841.4600220000001,64.192131
2017-04-11,139.992844,902.3599849999999,839.8800050000001,64.438156
2017-04-10,141.51503,907.0399779999999,841.7000119999999,64.487358
2017-04-07,141.68306,894.8800050000001,842.099976,64.634979
2017-04-06,141.999374,898.2800289999999,845.099976,64.68418100000001
2017-04-05,142.355209,909.2800289999999,848.909973,64.516876
2017-04-04,143.096542,906.830017,852.570007,64.68418100000001
2017-04-03,142.03891000000002,891.51001,856.75,64.507042
2017-03-31,141.999374,886.5399779999999,847.7999880000001,64.812111
2017-03-30,142.26623500000002,876.340027,849.4799800000001,64.664497
2017-03-29,142.454041,874.320007,849.8699949999999,64.428322
2017-03-28,142.137741,856.0,840.6300050000001,64.251175
2017-03-27,139.25151100000002,846.820007,838.51001,64.064194
2017-03-24,139.014267,845.6099849999999,835.1400150000001,63.946114
2017-03-23,139.291031,847.3800050000001,839.650024,63.83786
2017-03-22,139.785248,848.0599980000001,849.7999880000001,63.995312
2017-03-21,138.223511,843.2000119999999,850.1400150000001,63.188362
2017-03-20,139.824799,856.9699710000001,867.909973,63.896907999999996
2017-03-17,138.37178,852.3099980000001,872.3699949999999,63.83786
2017-03-16,139.06368999999998,853.419983,870.0,63.611518999999994
2017-03-15,138.836365,852.9699710000001,868.3900150000001,63.719772
2017-03-14,137.383347,852.5300289999999,865.909973,63.385181
2017-03-13,137.590912,854.590027,864.580017,63.68040500000001
2017-03-10,137.531601,852.4600220000001,861.409973,63.896907999999996
2017-03-09,137.07692,853.0,857.840027,63.700095999999995
2017-03-08,137.393234,850.5,853.6400150000001,63.955943999999995
2017-03-07,137.907227,846.0200199999999,851.150024,63.375336
2017-03-06,137.729309,846.6099849999999,847.2700199999999,63.247406000000005
2017-03-03,138.1642,849.8800050000001,849.080017,63.227722
2017-03-02,137.353699,848.909973,849.849976,62.991547
2017-03-01,138.17408799999998,853.080017,856.75,63.90675400000001
2017-02-28,135.406479,845.0399779999999,844.929993,62.962017
2017-02-27,135.347153,848.6400150000001,849.669983,63.208045999999996
2017-02-24,135.080292,845.23999,847.8099980000001,63.591839
2017-02-23,134.951782,852.1900019999999,851.0,63.591839
2017-02-22,135.52507,855.6099849999999,851.3599849999999,63.335972
2017-02-21,135.11982700000002,856.4400019999999,849.2700199999999,63.463905000000004
2017-02-17,134.151154,845.070007,846.5499880000001,63.591839
2017-02-16,133.785416,844.1400150000001,842.169983,63.493427000000004
2017-02-15,133.943573,842.7000119999999,837.320007,63.503268999999996
2017-02-14,133.45924399999998,836.3900150000001,840.0300289999999,63.542629000000005
2017-02-13,131.749222,836.530029,838.9600220000001,63.306454
2017-02-10,130.592758,827.460022,834.849976,62.602173
2017-02-09,130.889282,821.3599849999999,830.0599980000001,62.660862
2017-02-08,129.950287,819.710022,829.880005,61.956593000000005
2017-02-07,129.448349,812.5,829.22998,62.044624
2017-02-06,128.22796599999998,807.6400150000001,821.619995,62.25004200000001
2017-02-03,127.037125,810.200012,820.130005,62.289162
2017-02-02,126.495819,839.9500119999999,818.26001,61.790302000000004
2017-02-01,126.712341,832.349976,815.23999,62.191349
2017-01-31,119.42945900000001,823.47998,820.1900019999999,63.23798000000001
2017-01-30,119.705017,830.380005,823.830017,63.707489
2017-01-27,120.019958,835.77002,845.0300289999999,64.3433
2017-01-26,120.01013200000001,839.150024,856.9799800000001,62.866276
2017-01-25,119.951073,836.52002,858.4500119999999,62.289162
2017-01-24,118.071304,822.4400019999999,849.5300289999999,62.132659999999994
2017-01-23,118.17955800000001,817.880005,844.429993,61.584888
2017-01-20,118.100822,808.330017,828.169983,61.369693999999996
2017-01-19,117.8843,809.039978,824.369995,60.93930400000001
2017-01-18,118.090981,807.47998,829.02002,61.134941000000005
2017-01-17,118.100822,809.719971,827.460022,61.164280000000005
2017-01-13,117.156021,817.1400150000001,830.9400019999999,61.330569999999994
2017-01-12,117.36269399999999,813.6400150000001,829.530029,61.242535
2017-01-11,117.854782,799.02002,829.8599849999999,61.809868
2017-01-10,117.224907,795.900024,826.01001,61.252316
2017-01-09,117.106812,796.919983,827.179993,61.27188100000001
2017-01-06,116.04391499999998,795.98999,825.210022,61.46751
2017-01-05,114.764473,780.450012,813.02002,60.93930400000001
2017-01-04,114.183815,757.179993,807.77002,60.93930400000001
2017-01-03,114.31176,753.669983,808.01001,61.21319200000001
2016-12-30,113.986984,749.869995,792.450012,60.78279499999999
2016-12-29,114.88258400000001,765.150024,802.880005,61.52620699999999
2016-12-28,114.91210900000002,772.130005,804.570007,61.614235
2016-12-27,115.40418999999999,771.400024,809.929993,61.897895999999996
2016-12-23,114.675896,760.590027,807.799988,61.85878
2016-12-22,114.449547,766.340027,809.679993,62.162003000000006
2016-12-21,115.20735900000001,770.599976,812.200012,62.152225
2016-12-20,115.099098,771.219971,815.200012,62.152225
2016-12-19,114.793999,766.0,812.5,62.230476
2016-12-16,114.13460500000001,757.77002,809.840027,60.93930400000001
2016-12-15,113.986984,761.0,815.650024,61.21319200000001
